,Training_Time,Epochs_Trained,Best_Val_Acc,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Val_Accuracy,Val_F1,Val_Precision,Val_Recall,Test_Accuracy,Test_F1,Test_Precision,Test_Recall
Baseline CNN-LSTM,33021.0778503418,200.0,0.7597768035073734,0.8613947455569048,0.8609854338566305,0.8628312298369648,0.8613947455569048,0.759553607014747,0.7615808166389948,0.7800272127130178,0.759553607014747,0.5791563012756047,0.5826762615197403,0.6184179532760327,0.5791563012756047
Correlation-Aware CNN,46315.485562086105,200.0,0.7198405739338382,0.799957224859256,0.7973421852441162,0.802385849723301,0.799957224859256,0.7198405739338382,0.7245257168234822,0.7494950375316889,0.7198405739338382,0.5461811252844969,0.5457271204869848,0.5808139633676939,0.5461811252844969
Attention LSTM,26068.91732430458,200.0,0.7663770426464727,0.8864768462302682,0.886156738204929,0.8867880213108801,0.8864768462302682,0.76526106018334,0.7686897272694474,0.7913323533528406,0.76526106018334,0.583284814481554,0.5876769712407789,0.6199776402559519,0.583284814481554
Feature-Selective Net,25717.131052970886,200.0,0.6919728975687525,0.764764322772933,0.7616652834188996,0.7660355850366656,0.764764322772933,0.6855480271024312,0.6859315137140545,0.7065284622801858,0.6855480271024312,0.5285908361121403,0.525739171551754,0.5461856480858052,0.5285908361121403
HybridNet,117547.84512662888,200.0,0.7791789557592667,0.8842035544762115,0.8839784383449879,0.885417834796603,0.8842035544762115,0.7736149860502192,0.7760228617546115,0.7939423639670978,0.7736149860502192,0.5999576562748108,0.6041901534597736,0.6366020032324933,0.5999576562748108
